case_ID;bur_obstr;factional;unoff_militia;informal;power_prop;milit;nic;personal_rule;polar;regime;sec_obstr;transition;income;prim_comm_exp;gov_rev;pop_density;eth_min_rule;youth;repression;polity;ex_threat;trade_open;aid;liberal;n_collapse;n_civ_war;sap;outcome;hybrid_regime;local_polity
Afghanistan 1973;0;0;0;1;2;0;0;1;0;2;0;0;1;1;0;0;0;1;0;3;1;1;1;0;0;1;0;0;0;0
Afghanistan 1979;1;0;1;2;2;1;0;2;0;2;2;1;1;1;1;1;0;1;1;3;0;1;0;0;0;1;0;1;0;0
Angola 1975;0;0;0;2;2;1;1;0;1;2;0;0;1;2;0;0;1;1;1;1;0;2;0;0;0;1;0;0;0;1
Angola 1992;1;0;0;1;1;1;0;0;0;1;0;1;1;2;1;0;1;2;1;1;2;2;1;1;0;0;0;1;1;1
Bosnia-Herzegovina 1992;0;1;0;0;2;1;1;0;1;0;0;0;1;0;1;1;0;0;0;2;0;2;0;1;0;1;0;1;0;0
Burkina Faso 1987;0;0;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;2;0;1;2;1;0;0;0;1;0;0;0;1
Burundi 1993;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;2;1;2;1;1;0;1;0;1;1;0;0;0
Cambodia 1967;0;0;0;1;0;0;0;2;0;2;0;0;1;1;1;1;0;1;1;2;0;0;1;0;0;1;0;0;0;0
Chad 1965;1;0;0;2;0;0;1;2;0;2;1;0;1;1;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1
Chad 1979;0;0;1;1;2;1;0;0;1;2;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;1;0;1
Congo-Kinshasa 1960;0;1;0;2;2;1;1;0;1;1;0;1;1;2;0;0;0;2;0;1;0;2;0;0;0;0;0;1;1;1
Congo-Kinshasa 1977;1;0;0;2;2;1;0;2;0;2;2;0;1;1;1;0;0;1;1;1;0;2;0;1;0;1;0;0;0;1
Congo-Kinshasa 1996;1;0;0;2;2;0;0;2;1;2;2;0;0;1;0;0;0;3;1;1;0;1;1;0;1;1;0;1;0;1
Croatia 1995;0;0;0;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;1;2;0;2;0;1;1;1;0;0;1;0
Ethiopia 1974;1;0;0;2;1;0;0;2;0;2;1;0;0;1;0;0;1;1;1;3;0;1;0;0;0;1;0;0;0;0
Georgia 1991;0;1;1;1;2;1;1;2;1;1;0;0;1;0;1;1;0;0;0;2;0;1;0;0;0;1;0;1;1;0
Georgia 2003;1;1;1;2;1;0;0;1;0;1;1;0;1;1;0;1;0;0;1;2;0;2;0;1;0;1;1;0;1;0
Guinea 1996;0;1;0;1;0;0;0;1;0;1;0;1;1;1;1;0;1;2;1;1;1;1;0;1;0;1;1;0;1;1
Guinea-Bissau 1980;1;0;0;2;2;0;0;1;0;2;1;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1
Guinea-Bissau 1998;1;1;0;1;2;0;0;1;0;1;2;0;0;2;0;1;0;3;1;1;1;1;1;1;0;1;1;1;1;1
Iran 1979;1;0;0;2;1;0;0;2;0;2;2;0;1;2;1;0;0;1;1;3;2;1;0;0;0;1;0;0;0;0
Laos 1960;0;1;1;0;2;1;0;0;1;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;1;0;1;0;0
Laos 1989;0;0;0;2;2;1;0;0;0;2;0;0;0;0;1;0;0;2;1;2;2;1;0;1;0;1;0;0;0;0
Lebanon 1975;0;1;1;0;2;1;0;0;1;1;1;0;1;0;0;2;0;1;0;1;0;2;0;0;0;1;0;1;1;1
Lebanon 2005;0;1;0;1;2;0;0;0;1;0;0;0;1;0;0;2;0;1;1;1;0;1;0;1;0;1;0;0;0;1
Lesotho 1998;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;3;0;2;1;2;1;1;0;0;1;0;0;0
Liberia 1979;0;0;0;1;1;0;0;1;1;2;0;0;1;2;0;0;1;1;0;3;0;2;0;0;0;0;0;0;0;0
Liberia 1990;1;0;0;1;2;1;0;1;0;2;2;0;0;2;0;0;1;2;1;3;1;1;1;0;0;0;0;1;0;0
Mali 1991;0;0;0;0;2;0;0;2;1;2;0;0;1;1;0;0;0;3;1;2;2;1;0;1;0;1;1;0;0;0
Moldova 1992;0;1;0;0;2;1;1;0;1;1;0;1;1;2;0;1;0;0;0;2;0;2;0;1;0;1;0;0;1;0
Niger 1990;0;0;0;1;1;0;0;1;0;2;0;0;1;1;1;0;1;2;0;1;2;1;0;1;1;1;1;0;0;1
Nigeria 1967;0;0;0;2;1;0;0;1;1;2;0;1;1;1;1;1;0;2;1;1;1;0;0;0;0;1;0;0;0;1
Sierra Leone 1967;0;1;0;1;2;0;0;1;0;0;1;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1
Sierra Leone 1998;0;1;1;2;2;1;0;1;1;1;0;1;0;1;1;1;0;3;1;1;0;1;1;1;1;1;1;1;1;1
Somalia 1978;1;0;0;2;0;0;0;2;0;2;0;0;0;2;1;0;1;2;0;1;0;1;1;0;0;1;0;0;0;1
Somalia 1991;1;0;1;2;2;1;0;2;1;2;2;0;0;1;1;0;1;2;1;1;2;0;1;1;0;1;1;1;0;1
Sri Lanka 1983;0;1;0;0;1;0;0;1;1;1;0;0;1;2;1;2;0;1;0;1;1;1;0;1;0;1;1;0;1;1
Sudan 1992;1;0;1;2;1;1;0;1;1;2;2;0;1;1;0;0;1;2;1;1;1;0;1;1;0;1;0;0;0;1
Tajikistan 1992;0;1;1;2;2;1;1;0;1;1;0;1;1;2;1;1;0;2;1;0;1;2;1;1;0;1;0;1;1;0
Tajikistan 2010;1;1;0;2;0;0;0;1;0;1;2;0;1;2;1;1;0;3;1;0;1;2;0;1;1;1;0;0;1;0
Uganda 1971;1;0;0;1;1;0;0;1;0;2;2;0;1;1;0;1;0;2;1;1;0;1;0;0;0;1;0;0;0;1
Uganda 1985;1;1;1;1;2;1;0;2;1;1;0;0;0;1;0;1;1;2;1;1;1;0;0;1;0;1;1;1;1;1
Uzbekistan 1999;0;0;0;1;0;0;0;1;0;2;0;0;1;2;1;1;0;2;0;0;0;1;0;1;1;1;0;0;0;0
